LOC_PID,overlap_area,LOC_NAME,area,sa2,detail
loc5c27e3f22fc1,"[(207011520, 2.4681468231275648e-05), (207011152, 0.0002512180820945695), (207011519, 0.0003290858342223106)]",Hawthorn,"[207011519, 0.5439566684211623]",207011519,"[[207011520, 0.04079680081810479], [207011152, 0.41524653076073276], [207011519, 0.5439566684211623]]"
loc5d01e4efc615,"[(207021160, 1.3467938284384637e-06), (207021156, 0.0005953844747583928)]",Templestowe Lower,"[207021156, 0.9977430480027837]",207021156,"[[207021160, 0.0022569519972162975], [207021156, 0.9977430480027837]]"
loc5f0c59159354,"[(212021456, 0.0004596262278806368), (212021455, 0.0009358410767624219)]",Narre Warren,"[212021455, 0.6706291674829294]",212021455,"[[212021456, 0.3293708325170706], [212021455, 0.6706291674829294]]"
loc6047e494e110,"[(209011197, 0.0007482985996134562), (209031213, 0.0002796398183445578)]",Greensborough,"[209011197, 0.7279605339587768]",209011197,"[[209011197, 0.7279605339587768], [209031213, 0.27203946604122314]]"
loc61df9930af3b,"[(206071145, 0.0001389765057101697), (206021110, 0.00015055881548270135)]",Alphington,"[206021110, 0.5200015489039698]",206021110,"[[206071145, 0.4799984510960301], [206021110, 0.5200015489039698]]"
loc6280f9052ec0,"[(212031458, 6.058172100617885e-05), (212031457, 0.000587221285989757), (212021554, 0.0006955317843968756)]",Narre Warren South,"[212021554, 0.5177650343409379]",212021554,"[[212031458, 0.04509800639002719], [212031457, 0.437136959269035], [212021554, 0.5177650343409379]]"
loc6413994c2b24,"[(214011371, 0.0011945801219328427), (214011372, 0.000834355066471654)]",Frankston,"[214011371, 0.58877194735443]",214011371,"[[214011371, 0.58877194735443], [214011372, 0.41122805264557005]]"
loc642caba35d41,"[(212041563, 0.0008166687753096646), (212041564, 0.000345504175647304)]",Dandenong,"[212041563, 0.7027084691974587]",212041563,"[[212041563, 0.7027084691974587], [212041564, 0.2972915308025414]]"
loc64c822b0bad5,"[(212011546, 0.001939757158440317), (212011550, 0.0004957947164050345)]",Officer,"[212011546, 0.7964343434744063]",212011546,"[[212011546, 0.7964343434744063], [212011550, 0.20356565652559366]]"
loc656f84726510,"[(209021526, 0.0004891383533117538), (209021525, 0.0004626409613266092), (209021523, 0.0004119808439712805), (209021524, 0.0005621165044222495)]",Reservoir,"[209021524, 0.2918756508203977]",209021524,"[[209021526, 0.2539821800123519], [209021525, 0.24022356686033935], [209021523, 0.21391860230691107], [209021524, 0.2918756508203977]]"
loc65b04ce00376,"[(208011170, 0.0005612340949123932), (208011172, 1.2327183781395632e-05)]",Brighton East,"[208011170, 0.9785076429680379]",208011170,"[[208011170, 0.9785076429680379], [208011172, 0.02149235703196211]]"
loc67f13bfe7b6c,"[(207031165, 0.0005158046987577992), (212051319, 0.00010336771700081753)]",Burwood,"[207031165, 0.8330550354473233]",207031165,"[[207031165, 0.8330550354473233], [212051319, 0.16694496455267682]]"
loc695c9ddc8068,"[(206051134, 0.00013358612561394944), (208021177, 9.817704875982648e-05)]",St Kilda East,"[206051134, 0.5763906452131541]",206051134,"[[206051134, 0.5763906452131541], [208021177, 0.42360935478684597]]"
loc6ae8cb311823,"[(210051542, 0.0004048590468501067), (210051543, 0.001361585895692096), (210051441, 0.001215600627775747), (210051442, 2.066205168040669e-05), (210051443, 0.0001957300536249389), (210051445, 0.00041716184540044896)]",Craigieburn,"[210051543, 0.3765864797179107]",210051543,"[[210051542, 0.11197563350032534], [210051543, 0.3765864797179107], [210051441, 0.3362099758857015], [210051442, 0.005714695878307976], [210051443, 0.054134882053950104], [210051445, 0.1153783329638043]]"
loc6d7f0d49a3d6,"[(209041437, 5.986037184706512e-05), (209041435, 0.005344943826922907)]",Wollert,"[209041435, 0.988924599366488]",209041435,"[[209041437, 0.011075400633511971], [209041435, 0.988924599366488]]"
loc6f887e0e8e31,"[(208011173, 2.158660014944201e-05), (208011171, 0.000355400514005788)]",Sandringham,"[208011171, 0.9427391564886396]",208011171,"[[208011173, 0.057260843511360474], [208011171, 0.9427391564886396]]"
loc712bc92c5924,"[(209041223, 0.00041063689710963536), (209011196, 0.0006062106974015567), (209041217, 0.0004812422396117385), (209021205, 0.0002615823783736641), (209041216, 3.8886567405384655e-06)]",Bundoora,"[209011196, 0.34374242929521703]",209011196,"[[209041223, 0.2328453212319603], [209011196, 0.34374242929521703], [209041217, 0.27288099209181843], [209021205, 0.14832625453229598], [209041216, 0.0022050028487083577]]"
loc7213d03738b9,"[(210031237, 0.0005191813588753822), (210051243, 1.719115728359402e-05)]",Fawkner,"[210031237, 0.9679492204285526]",210031237,"[[210031237, 0.9679492204285526], [210051243, 0.03205077957144753]]"
loc72d1f0339be6,"[(211031266, 0.0010042177382554875), (211031267, 3.22776611197674e-05)]",Ringwood,"[211031266, 0.9688588476714679]",211031266,"[[211031266, 0.9688588476714679], [211031267, 0.031141152328531974]]"
loc7767bba5f04d,"[(212041565, 0.0006758859740655933), (212041566, 0.0015498294440643495)]",Keysborough,"[212041566, 0.6963286642308135]",212041566,"[[212041565, 0.30367133576918653], [212041566, 0.6963286642308135]]"
loc77c523d8c2ba,"[(206061136, 5.765253868553086e-06), (206051514, 0.00010278881277853656)]",Windsor,"[206051514, 0.9468904846531823]",206051514,"[[206061136, 0.05310951534681776], [206051514, 0.9468904846531823]]"
loc79e45c9fa669,"[(206011106, 0.00021792330759502323), (206011495, 3.2470085327543845e-06), (206011496, 4.9472215134489125e-06)]",Brunswick East,"[206011106, 0.9637611919372445]",206011106,"[[206011106, 0.9637611919372445], [206011495, 0.014359826162207327], [206011496, 0.02187898190054816]]"
loc7a8164839d54,"[(207021425, 0.0006406950150331358), (207021424, 0.00047526145928178636)]",Doncaster East,"[207021425, 0.5741218674558557]",207021425,"[[207021425, 0.5741218674558557], [207021424, 0.4258781325441443]]"
loc7a8cc16cce19,"[(213051586, 0.00390901236579369), (213051588, 0.001791607623562677), (213051587, 0.000354055511677148), (213041359, 0.0005493373924586006)]",Truganina,"[213051586, 0.5919147083504035]",213051586,"[[213051586, 0.5919147083504035], [213051588, 0.2712907519196708], [213051587, 0.05361217753315561], [213041359, 0.08318236219677004]]"
loc7ab22202aac3,"[(207021157, 5.724474207155096e-06), (207021160, 0.0008834706448925573), (207021156, 7.258592411196694e-06)]",Doncaster,"[207021160, 0.9855173039593201]",207021160,"[[207021157, 0.006385688556642708], [207021160, 0.9855173039593201], [207021156, 0.00809700748403713]]"
loc7c32e0d95873,"[(206071143, 1.903133739467408e-06), (206011106, 0.0002529615985179591)]",Fitzroy North,"[206011106, 0.9925327693533323]",206011106,"[[206071143, 0.0074672306466676795], [206011106, 0.9925327693533323]]"
loc7d9d9818d4b9,"[(211011446, 1.5568636325097243e-05), (211011251, 0.0011369532787233133)]",Boronia,"[211011251, 0.9864916787075209]",211011251,"[[211011446, 0.013508321292479107], [211011251, 0.9864916787075209]]"
loc819a06b032e3,"[(213051582, 0.0013046009017456644), (213051583, 0.0008147269425517919), (213051585, 0.0014672855924123417), (213051584, 0.00031959451252054903)]",Tarneit,"[213051585, 0.37562915530430113]",213051585,"[[213051582, 0.3339814261559511], [213051583, 0.2085723425739073], [213051585, 0.37562915530430113], [213051584, 0.08181707596584042]]"
